( 0.992396771907806,  0.498396158218384,  0.034585185348988); // L00
(-0.018629105761647, -0.011750457808375, -0.006298894993961); // L1-1
( 0.426937788724899,  0.211862608790398,  0.008528307080269); // L10
(-0.669528484344482, -0.331769883632660, -0.012873030267656); // L11
( 0.002159207826480,  0.001122669433244,  0.000141344207805); // L2-2
(-0.001391030149534, -0.000722437049262, -0.000089042187028); // L2-1
(-0.004234613385051, -0.002046260284260, -0.000018154694772); // L20
(-0.050186723470688, -0.024796931073070, -0.000859371502884); // L21
( 0.039474859833717,  0.019587839022279,  0.000777038163505); // L22
